docname,from,to,pre,keyword,post,pattern
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_131,30,30,Biden landed himself in hot water earlier in the week for referring to former President Donald Trump’s supporters as “ garbage ” in reaction to a comedian’s joke during,Trump’s,rally last week at Madison Square Garden .,trump
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_133,38,38,"The White House and legacy media worked overtime to unring the bell , trying to claim that he had meant to say that their rhetoric demonizing others was “ garbage . ” Even the official White House",transcript,"was altered , over the objections of official stenographers .",trans
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_138,10,10,CNN Fact-Checks Walz’s Lie About Loss Of Jobs Under,Trump,,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_144,7,7,""" It’s not true that the",Trump,"presidency lost more manufacturing jobs than any other presidency , "" the CNN analyst said .",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_145,6,6,CNN analyst fact-checked Vice President,Kamala,Harris ’ running mate Democrat Minnesota Gov . Tim Walz‘s lie about the loss of manufacturing jobs under former President Donald Trump .,kamala
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_145,7,7,CNN analyst fact-checked Vice President Kamala,Harris,’ running mate Democrat Minnesota Gov . Tim Walz‘s lie about the loss of manufacturing jobs under former President Donald Trump .,harris
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_145,27,27,CNN analyst fact-checked Vice President Kamala Harris ’ running mate Democrat Minnesota Gov . Tim Walz‘s lie about the loss of manufacturing jobs under former President,Donald,Trump .,donald
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_145,28,28,CNN analyst fact-checked Vice President Kamala Harris ’ running mate Democrat Minnesota Gov . Tim Walz‘s lie about the loss of manufacturing jobs under former President Donald,Trump,.,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_146,13,13,"Walz appeared on “ The View ” Monday and said , “",Donald,Trump lost more manufacturing jobs than any president in American history . That’s simply factual . ”,donald
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_146,14,14,"Walz appeared on “ The View ” Monday and said , “ Donald",Trump,lost more manufacturing jobs than any president in American history . That’s simply factual . ”,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_148,36,36,"“ Well , if you’re going to say something is simply factual , it should be factual , ” CNN analyst Daniel Dale said . “ This is not . It’s not true that the",Trump,presidency lost more manufacturing jobs than any other presidency . ”,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_151,6,6,He tried to say that,Trump,“ lost more manufacturing jobs than any president in American history ”,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_154,23,23,"“ Under George W . Bush , there were about 4.5 million manufacturing jobs lost , ” he added . “ Under",Trump,", it was about 178,000 . There are also more manufacturing jobs lost , than under Trump , under Eisenhower , under Ford , under Reagan , so Trump does not have the record . ”",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_154,40,40,"“ Under George W . Bush , there were about 4.5 million manufacturing jobs lost , ” he added . “ Under Trump , it was about 178,000 . There are also more manufacturing jobs lost , than under",Trump,", under Eisenhower , under Ford , under Reagan , so Trump does not have the record . ”",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_154,52,52,"Under George W . Bush , there were about 4.5 million manufacturing jobs lost , ” he added . “ Under Trump , it was about 178,000 . There are also more manufacturing jobs lost , than under Trump , under Eisenhower , under Ford , under Reagan , so",Trump,does not have the record . ”,trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_155,13,13,“ I think it’s also worth pointing out for context that these,Trump,"job losses in manufacturing overwhelmingly occurred because of the COVID pandemic , ” the analyst continued . “ Pre-pandemic under Trump , there was a gain of about 414,000 manufacturing jobs . ”",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_155,34,34,"“ I think it’s also worth pointing out for context that these Trump job losses in manufacturing overwhelmingly occurred because of the COVID pandemic , ” the analyst continued . “ Pre-pandemic under",Trump,", there was a gain of about 414,000 manufacturing jobs . ”",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_157,42,42,"A CNN report noted that official statistics show that significantly more manufacturing jobs were also lost during the presidencies of “ George H.W . Bush ( 1.27 million ) ” and under former President Barack Obama ( 195,000 ) than under",Trump,", providing the numbers under Eisenhower ( 1.2 million ) , Ford ( 767,000 ) , and Reagan ( 582,000 ) .",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_158,9,9,The CNN report also pointed out that because,Trump,"only had one term so far , his loss of jobs does not even set a record among those presidents who only served once .",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_159,6,6,"During the 2024 campaign ,",Trump,"has focused much of his attention on the economy , blasting the Biden-Harris administration’s record on the issue . Voters also list the economy and inflation , which reached 9.1 % under President Joe Biden , as the top issues heading into the election .",trump
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_159,19,19,"During the 2024 campaign , Trump has focused much of his attention on the economy , blasting the",Biden-Harris,"administration’s record on the issue . Voters also list the economy and inflation , which reached 9.1 % under President Joe Biden , as the top issues heading into the election .",harris
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_160,1,1,,Harris,"has also focused on addressing Americans ’ economic woes during her campaign and has largely blamed corporate greed for a rise in prices . In August , Harris proposed “ the first-ever federal ban on corporate price-gouging , ” a policy that was compared to Soviet-style price controls on food",harris
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt_160,29,29,"Harris has also focused on addressing Americans ’ economic woes during her campaign and has largely blamed corporate greed for a rise in prices . In August ,",Harris,"proposed “ the first-ever federal ban on corporate price-gouging , ” a policy that was compared to Soviet-style price controls on food .",harris
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt_166,11,11,‘ Could Be Something Very Wrong With Her ’ :,Trump,Calls On Kamala To Take Cognitive Test,trump
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt_166,14,14,‘ Could Be Something Very Wrong With Her ’ : Trump Calls On,Kamala,To Take Cognitive Test,kamala
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt_173,3,3,Former President,Donald,"Trump said on Sunday night that Vice President Kamala Harris should take a “ test on cognitive stamina and agility , ” arguing that her “ slow and lethargic ” answers during interviews are concerning .",donald
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt_173,4,4,Former President Donald,Trump,"said on Sunday night that Vice President Kamala Harris should take a “ test on cognitive stamina and agility , ” arguing that her “ slow and lethargic ” answers during interviews are concerning .",trump
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt_173,12,12,Former President Donald Trump said on Sunday night that Vice President,Kamala,"Harris should take a “ test on cognitive stamina and agility , ” arguing that her “ slow and lethargic ” answers during interviews are concerning .",kamala
